"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.004337599
0,6,0.05501446
0,9,0.1725275
0,12,0.3485233
0,15,0.5657077
0,18,0.8025181
0,21,1.038634
0,24,1.258037
0,27,1.450072
0,30,1.608928
0,33,1.732828
0,36,1.822927
0,39,1.882183
0,42,1.914529
0,45,1.92424
0,48,1.915526
0,51,1.892264
0,54,1.857859
0,57,1.815212
0,60,1.766726
0,63,1.714352
0,66,1.659637
0,69,1.603791
0,72,1.547749
0,75,1.49222
0,78,1.43773
0,81,1.384652
0,84,1.333244
0,87,1.283673
0,90,1.236038
0,93,1.190386
0,96,1.146724
0,99,1.105028
0,102,1.065254
0,105,1.027342
0,108,0.9912239
0,111,0.9568207
0,114,0.9240579
0,117,0.892853
0,120,0.8631281
0,135,0.7340229
0,150,0.6312919
0,165,0.5482699
0,180,0.480134
0,195,0.4234457
0,210,0.3757379
0,225,0.3351979
0,240,0.3004771
0,255,0.2705441
0,270,0.2445937
0,285,0.2219889
0,300,0.2022141
0,315,0.1848498
0,330,0.1695511
0,345,0.1560304
0,360,0.1440463
0,375,0.1333951
0,390,0.1239037
0,405,0.1154251
0,420,0.1078338
0,435,0.101022
0,450,0.09489743
0,465,0.08937825
0,480,0.08439364
0,495,0.07988213
0,510,0.0757901
0,525,0.07207112
0,540,0.06868415
0,555,0.06559301
0,570,0.06276552
0,585,0.06017325
0,600,0.0577912
0,615,0.05559719
0,630,0.05357156
0,645,0.05169679
0,660,0.04995723
0,675,0.04833899
0,690,0.04682966
0,705,0.04541824
0,720,0.04409492
0,735,0.613363
0,750,1.663633
0,765,1.979638
0,780,1.819237
0,795,1.541261
0,810,1.282048
0,825,1.07085
0,840,0.9045447
0,855,0.7736543
0,870,0.6693892
0,885,0.585017
0,900,0.5156798
0,915,0.4579044
0,930,0.4092
0,945,0.3677368
0,960,0.3321466
0,975,0.3013927
0,990,0.2746686
0,1005,0.2513301
0,1020,0.2308566
0,1035,0.2128249
0,1050,0.1968868
0,1065,0.1827515
0,1080,0.1701751
0,1095,0.158952
0,1110,0.1489083
0,1125,0.1398956
0,1140,0.1317866
0,1155,0.1244721
0,1170,0.1178582
0,1185,0.1118628
0,1200,0.1064152
0,1215,0.1014529
0,1230,0.09692193
0,1245,0.09277509
0,1260,0.0889708
0,1275,0.08547248
0,1290,0.08224781
0,1305,0.07926808
0,1320,0.07650784
0,1335,0.07394464
0,1350,0.07155845
0,1365,0.06933147
0,1380,0.06724785
0,1395,0.06529348
0,1410,0.06345572
0,1425,0.06172338
0,1440,0.06008642
0,1455,0.6277038
0,1470,1.675107
0,1485,1.99013
0,1500,1.829978
0,1515,1.552545
0,1530,1.29372
0,1545,1.08271
0,1560,0.9165273
0,1575,0.7856556
0,1590,0.6813769
0,1605,0.5969645
0,1620,0.5275353
0,1635,0.4696415
0,1650,0.4207981
0,1665,0.3791832
0,1680,0.3434429
0,1695,0.3125347
0,1710,0.2856511
0,1725,0.2621476
0,1740,0.2415073
0,1755,0.2233097
0,1770,0.2072062
0,1785,0.1929058
0,1800,0.180165
0,1815,0.168779
0,1830,0.1585735
0,1845,0.1494006
0,1860,0.1411332
0,1875,0.1336622
0,1890,0.1268934
0,1905,0.1207452
0,1920,0.1151467
0,1935,0.1100361
0,1950,0.1053591
