"Time","Concentration","Legend","ResidualsLegend","Path"
0,0,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.05,1.92769971417491,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.1,24.4493233280689,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.15,76.67403628584,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.2,154.889430545756,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.25,251.409715610743,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.3,356.652137728095,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.35,461.585853826511,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.4,559.092135956013,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.45,644.435655236459,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.5,715.033813244796,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.55,770.097017651141,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.6,810.138471682787,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.65,836.472785113871,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.7,850.84787929033,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.75,855.163618043482,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.8,851.290991894138,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.85,840.952969290531,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.9,825.662829574501,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.95,806.709805794072,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1,785.161839588118,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.05,761.88597792865,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.1,737.56972347703,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.15,712.750861508393,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.2,687.844902801275,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.25,663.166910800779,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.3,638.950626875627,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.35,615.361926870215,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.4,592.515350412643,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.45,570.485226410508,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.5,549.31542110436,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.55,529.026966979098,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.6,509.622830833602,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.65,491.092469936144,"Simulated Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Scenario Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
