"Output","pkParameter","Quantile","Value","Unit","IndividualId","Filename"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","C_max",0.05,2.636501,"µmol/l",355,"Larson 2013 8y-18y 400mg FCT meal-SensitivityAnalysisResultsIndividualId-355.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","C_max",0.5,5.242164,"µmol/l",324,"Larson 2013 8y-18y 400mg FCT meal-SensitivityAnalysisResultsIndividualId-324.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","C_max",0.95,10.46504,"µmol/l",494,"Larson 2013 8y-18y 400mg FCT meal-SensitivityAnalysisResultsIndividualId-494.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","C_max_norm",0.05,164038.6,"mg/l",355,"Larson 2013 8y-18y 400mg FCT meal-SensitivityAnalysisResultsIndividualId-355.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","C_max_norm",0.5,326158.4,"mg/l",324,"Larson 2013 8y-18y 400mg FCT meal-SensitivityAnalysisResultsIndividualId-324.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","C_max_norm",0.95,651116.8,"mg/l",494,"Larson 2013 8y-18y 400mg FCT meal-SensitivityAnalysisResultsIndividualId-494.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","t_max",0.05,1,"h",84,"Larson 2013 8y-18y 400mg FCT meal-SensitivityAnalysisResultsIndividualId-84.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","t_max",0.5,2.5,"h",38,"Larson 2013 8y-18y 400mg FCT meal-SensitivityAnalysisResultsIndividualId-38.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","t_max",0.95,4,"h",96,"Larson 2013 8y-18y 400mg FCT meal-SensitivityAnalysisResultsIndividualId-96.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","C_tEnd",0.05,0.1951147,"µmol/l",255,"Larson 2013 8y-18y 400mg FCT meal-SensitivityAnalysisResultsIndividualId-255.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","C_tEnd",0.5,0.4267309,"µmol/l",203,"Larson 2013 8y-18y 400mg FCT meal-SensitivityAnalysisResultsIndividualId-203.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","C_tEnd",0.95,1.007903,"µmol/l",301,"Larson 2013 8y-18y 400mg FCT meal-SensitivityAnalysisResultsIndividualId-301.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","AUC_tEnd",0.05,973.4595,"µmol*min/l",298,"Larson 2013 8y-18y 400mg FCT meal-SensitivityAnalysisResultsIndividualId-298.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","AUC_tEnd",0.5,1568.918,"µmol*min/l",123,"Larson 2013 8y-18y 400mg FCT meal-SensitivityAnalysisResultsIndividualId-123.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","AUC_tEnd",0.95,2611.003,"µmol*min/l",189,"Larson 2013 8y-18y 400mg FCT meal-SensitivityAnalysisResultsIndividualId-189.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","AUC_tEnd_norm",0.05,60566980000,"µg*min/l",298,"Larson 2013 8y-18y 400mg FCT meal-SensitivityAnalysisResultsIndividualId-298.csv"
"Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)","AUC_tEnd_norm",0.5,97615400000,"µg*min/l",123,"Larson 2013 8y-18y 400mg FCT meal-SensitivityAnalysisResultsIndividualId-123.csv"
