"Path","Parameter","Value","Unit"
"Raltegravir","C_max",893.5020820641,"µg/l"
"Raltegravir","C_max_norm",0.03261283,"kg/l"
"Raltegravir","C_max_t1_t2",863.1595591816,"µg/l"
"Raltegravir","C_max_t1_t2_norm",0.6301065,"kg/l"
"Raltegravir","C_max_tLast_tEnd",892.65458018,"µg/l"
"Raltegravir","C_max_tLast_tEnd_norm",0.6516379,"kg/l"
"Raltegravir","t_max",168.75,"h"
"Raltegravir","t_max_t1_t2",0.75,"h"
"Raltegravir","t_max_tLast_tEnd",228.75,"h"
"Raltegravir","C_trough_t2",19.661750396362,"µg/l"
"Raltegravir","C_trough_tLast",31.922516156423,"µg/l"
"Raltegravir","AUC_t1_t2",1978.75616881167,"µg*h/l"
"Raltegravir","AUC_t1_t2_norm",1.44449233333333,"kg*h/l"
"Raltegravir","AUC_tLast_minus_1_tLast",2218.72986040417,"µg*h/l"
"Raltegravir","AUC_tLast_minus_1_tLast_norm",1.619673,"kg*h/l"
"Raltegravir","AUC_inf_t1",2144.3464228855,"µg*h/l"
"Raltegravir","AUC_inf_t1_norm",1.5653725,"kg*h/l"
"Raltegravir","AUC_inf_tLast",2536.55195526767,"µg*h/l"
"Raltegravir","AUC_inf_tLast_norm",1.85168333333333,"kg*h/l"
"Raltegravir","MRT",3.962143,"h"
"Raltegravir","Thalf",5.837623,"h"
"Raltegravir","Thalf_tLast_tEnd",6.900443,"h"
