"Path","Parameter","Value","Unit"
"Raltegravir","C_max",276.84935629315,"µg/l"
"Raltegravir","C_max_norm",0.8084001,"kg/l"
"Raltegravir","t_max",0.75,"h"
"Raltegravir","C_tEnd",4.894138947913,"µg/l"
"Raltegravir","AUC",605.060422862983,"µg*h/l"
"Raltegravir","AUC_norm",1.76677666666667,"kg*h/l"
"Raltegravir","AUC_inf",638.8955393778,"µg*h/l"
"Raltegravir","AUC_inf_norm",1.865575,"kg*h/l"
"Raltegravir","MRT",3.327076,"h"
"Raltegravir","Thalf",4.791995,"h"
"Raltegravir","CL",8.933797,"ml/min/kg"
"Raltegravir","Vss",1783.405,"ml/kg"
"Raltegravir","Vd",3705.768,"ml/kg"
