"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.004391631
0,6,0.05566287
0,9,0.1744772
0,12,0.3523288
0,15,0.5717342
0,18,0.8109083
0,21,1.049299
0,24,1.270782
0,27,1.464573
0,30,1.624845
0,33,1.749814
0,36,1.840616
0,39,1.900237
0,42,1.93266
0,45,1.942232
0,48,1.933213
0,51,1.909526
0,54,1.874611
0,57,1.831398
0,60,1.782315
0,63,1.729326
0,66,1.673995
0,69,1.617548
0,72,1.560923
0,75,1.50483
0,78,1.449793
0,81,1.396188
0,84,1.344276
0,87,1.294225
0,90,1.246134
0,93,1.200049
0,96,1.155975
0,99,1.113889
0,102,1.073746
0,105,1.035487
0,108,0.99904
0,111,0.9643285
0,114,0.9312726
0,117,0.8997912
0,120,0.869803
0,135,0.7395589
0,150,0.6359471
0,165,0.552227
0,180,0.483531
0,195,0.426388
0,210,0.3783009
0,225,0.3374471
0,240,0.3024623
0,255,0.2723039
0,270,0.2461618
0,285,0.2233921
0,300,0.2034748
0,315,0.1859868
0,330,0.1705802
0,345,0.1569646
0,360,0.1448966
0,375,0.1341711
0,390,0.1246143
0,405,0.116078
0,420,0.1084353
0,435,0.1015771
0,450,0.09540948
0,465,0.0898509
0,480,0.08483063
0,495,0.08028704
0,510,0.07616626
0,525,0.0724211
0,540,0.06901007
0,555,0.06589667
0,570,0.06304869
0,585,0.06043765
0,600,0.05803834
0,615,0.05582839
0,630,0.05378797
0,645,0.05189942
0,660,0.05014705
0,675,0.04851688
0,690,0.04699647
0,705,0.04557472
0,720,0.04424174
0,735,0.6145473
0,750,1.666178
0,765,1.982354
0,780,1.821461
0,795,1.543066
0,810,1.283507
0,825,1.072018
0,840,0.905518
0,855,0.7744817
0,870,0.6701003
0,885,0.5856343
0,900,0.5162153
0,915,0.4583703
0,930,0.4096027
0,945,0.3680872
0,960,0.3324592
0,975,0.3016755
0,990,0.2749244
0,1005,0.2515615
0,1020,0.2310672
0,1035,0.2130177
0,1050,0.1970638
0,1065,0.1829144
0,1080,0.1703251
0,1095,0.1590901
0,1110,0.1490355
0,1125,0.140013
0,1140,0.1318952
0,1155,0.1245726
0,1170,0.1179509
0,1185,0.1119483
0,1200,0.106494
0,1215,0.1015259
0,1230,0.09698983
0,1245,0.0928385
0,1260,0.08903016
0,1275,0.08552811
0,1290,0.0822999
0,1305,0.07931687
0,1320,0.07655362
0,1335,0.07398761
0,1350,0.07159881
0,1365,0.0693694
0,1380,0.0672835
0,1395,0.06532699
0,1410,0.06348725
0,1425,0.06175303
0,1440,0.06011428
0,1455,0.6301303
0,1470,1.681488
0,1485,1.99739
0,1500,1.836206
0,1515,1.557539
0,1530,1.297708
0,1545,1.085955
0,1560,0.9191916
0,1575,0.7879014
0,1590,0.6832716
0,1605,0.5985622
0,1620,0.528905
0,1635,0.470827
0,1650,0.4218313
0,1665,0.3800919
0,1680,0.3442446
0,1695,0.3132477
0,1710,0.2862874
0,1725,0.2627189
0,1740,0.2420233
0,1755,0.2237767
0,1770,0.2076291
0,1785,0.1932897
0,1800,0.1805145
0,1815,0.169098
0,1830,0.1588655
0,1845,0.1496684
0,1860,0.1413794
0,1875,0.133889
0,1890,0.1271028
0,1905,0.1209389
0,1920,0.1153263
0,1935,0.1102028
0,1950,0.1055144
0,1965,0.1012135
0,1980,0.09725842
0,1995,0.09361234
0,2010,0.09024279
0,2025,0.08712102
0,2040,0.08422158
0,2055,0.08152187
0,2070,0.07900181
0,2085,0.07664351
0,2100,0.07443107
0,2115,0.07235029
0,2130,0.07038851
0,2145,0.06853443
0,2160,0.06677795
0,2175,0.6366898
0,2190,1.687944
0,2205,2.003742
0,2220,1.842459
0,2235,1.563683
0,2250,1.30374
0,2265,1.091878
0,2280,0.9250093
0,2295,0.7936144
0,2310,0.688883
0,2325,0.6040743
0,2340,0.5343202
0,2355,0.4761471
0,2370,0.427058
0,2385,0.3852271
0,2400,0.3492903
0,2415,0.3182056
0,2430,0.2911586
0,2445,0.2675047
0,2460,0.2467254
0,2475,0.2283966
0,2490,0.2121682
0,2505,0.1977494
0,2520,0.1848964
0,2535,0.1734033
0,2550,0.1630955
0,2565,0.1538245
0,2580,0.1454628
0,2595,0.137901
0,2610,0.1310446
0,2625,0.1248119
0,2640,0.1191314
0,2655,0.1139414
0,2670,0.1091874
0,2685,0.104822
0,2700,0.1008036
0,2715,0.09709524
0,2730,0.09366447
0,2745,0.09048253
0,2760,0.08752391
0,2775,0.08476605
0,2790,0.08218881
0,2805,0.07977433
0,2820,0.07750665
0,2835,0.07537156
0,2850,0.07335639
0,2865,0.07144983
0,2880,0.06964177
0,2895,0.6394984
0,2910,1.690696
0,2925,2.006445
0,2940,1.845116
0,2955,1.566295
0,2970,1.306307
0,2985,1.094401
0,3000,0.9274889
0,3015,0.79605
0,3030,0.6912756
0,3045,0.6064248
0,3060,0.5366289
0,3075,0.4784148
0,3090,0.4292854
0,3105,0.3874146
0,3120,0.3514384
0,3135,0.320315
0,3150,0.2932307
0,3165,0.2695397
0,3180,0.248724
0,3195,0.2303593
0,3210,0.2140957
0,3225,0.1996423
0,3240,0.1867551
0,3255,0.1752286
0,3270,0.1648879
0,3285,0.1555846
0,3300,0.1471912
0,3315,0.1395982
0,3330,0.1327111
0,3345,0.1264482
0,3360,0.1207382
0,3375,0.1155191
0,3390,0.1107366
0,3405,0.1063431
0,3420,0.1022971
0,3435,0.09856169
0,3450,0.09510432
0,3465,0.09189625
0,3480,0.08891197
0,3495,0.08612888
0,3510,0.08352686
0,3525,0.08108804
0,3540,0.07879645
0,3555,0.07663789
0,3570,0.07459965
0,3585,0.07267044
0,3600,0.07084013
0,3615,0.6406768
0,3630,1.691856
0,3645,2.007585
0,3660,1.846235
0,3675,1.567393
0,3690,1.307385
0,3705,1.095458
0,3720,0.9285257
0,3735,0.7970681
0,3750,0.6922748
0,3765,0.6074052
0,3780,0.5375913
0,3795,0.4793593
0,3810,0.4302124
0,3825,0.3883246
0,3840,0.352332
0,3855,0.3211924
0,3870,0.2940914
0,3885,0.2703846
0,3900,0.2495532
0,3915,0.2311733
0,3930,0.2148946
0,3945,0.2004265
0,3960,0.187525
0,3975,0.1759842
0,3990,0.1656297
0,4005,0.1563127
0,4020,0.1479059
0,4035,0.1402998
0,4050,0.1333998
0,4065,0.1271243
0,4080,0.1214019
0,4095,0.1161705
0,4110,0.111376
0,4125,0.1069708
0,4140,0.1029133
0,4155,0.09916656
0,4170,0.09569808
0,4185,0.09247909
0,4200,0.08948411
0,4215,0.08669052
0,4230,0.08407822
0,4245,0.08162928
0,4260,0.07932777
0,4275,0.07715946
0,4290,0.07511167
0,4305,0.07317308
0,4320,0.07133356
0,4335,0.6412144
0,4350,1.692482
0,4365,2.00821
0,4380,1.846827
0,4395,1.567948
0,4410,1.307911
0,4425,1.095958
0,4440,0.9290079
0,4455,0.7975331
0,4470,0.6927239
0,4485,0.6078414
0,4500,0.5380153
0,4515,0.4797721
0,4530,0.4306156
0,4545,0.3887186
0,4560,0.3527162
0,4575,0.3215666
0,4590,0.2944571
0,4605,0.270743
0,4620,0.2499044
0,4635,0.2315174
0,4650,0.2152323
0,4665,0.200758
0,4680,0.1878501
0,4695,0.176303
0,4710,0.1659422
0,4725,0.1566192
0,4740,0.1482066
0,4755,0.1405946
0,4770,0.133689
0,4785,0.1274078
0,4800,0.1216799
0,4815,0.1164433
0,4830,0.1116437
0,4845,0.1072337
0,4860,0.1031713
0,4875,0.09941982
0,4890,0.09594671
