"Time","Concentration","Legend","ResidualsLegend","Path"
0,0,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.05,1.95171244953889,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.1,24.7374869137049,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.15,77.5405137384251,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.2,156.580664841709,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.25,254.087993297601,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.3,360.38087413187,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.35,466.325579926419,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.4,564.756231820536,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.45,650.880125162923,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.5,722.107615383196,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.55,777.645878459835,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.6,817.999747009015,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.65,844.496280764449,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.7,858.905599085104,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.75,863.159564847338,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.8,859.151366584992,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.85,848.624475445688,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.9,833.107693486822,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.95,813.903127544403,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1,792.089844753098,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.05,768.540666747022,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.1,743.95067212038,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.15,718.864692295647,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.2,693.699615493691,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.25,668.770981966579,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.3,644.31163244766,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.35,620.488714266562,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.4,597.418144493723,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.45,575.174675865149,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.5,553.802280578494,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.55,533.321355376041,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.6,513.734125356948,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.65,495.03041863935,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.7,477.190209330821,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.75,460.187326026976,"Simulated Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Raltegravir (Raltegravir 100 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
