"Time","Observed","Simulated","Residuals","Legend","Path"
0.25,38.23913516,33.8044050673433,0.123268350385384,"Raltegravir (Raltegravir 10 mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.5,225.9547932,93.6937137904748,0.880303850863506,"Raltegravir (Raltegravir 10 mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1,158.3867387,100.279735783929,0.457076117043999,"Raltegravir (Raltegravir 10 mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.5,91.69169623,68.7657358729362,0.287726225728037,"Raltegravir (Raltegravir 10 mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
2,62.5400186,47.2391862463802,0.28058288420305,"Raltegravir (Raltegravir 10 mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
3,32.45573541,25.6256044489521,0.236285148171066,"Raltegravir (Raltegravir 10 mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
4,26.80435312,15.720515944967,0.533597696788135,"Raltegravir (Raltegravir 10 mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
6,9.232034735,7.28730735607259,0.236545355732376,"Raltegravir (Raltegravir 10 mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
8,4.294901229,4.12297794950716,0.0408528528880046,"Raltegravir (Raltegravir 10 mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
12,1.94419374,1.95631392645338,-0.00621469126534646,"Raltegravir (Raltegravir 10 mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
