"Time","Fraction dissolved","Fraction absorbed to mucosa","Fraction absorbed to portal vein","Fraction absorbed to venous blood","Fraction excrected to feces"
0,0,0,0,0,0
3,0.203324735164642,0.00361901428550482,0.00158209460810638,0.000505293439549147,1.91445852631874e-24
6,0.211568132042885,0.0123763913288713,0.00761593019784114,0.00428785203571877,5.20152616092546e-21
9,0.216312527656555,0.025445893406868,0.0176942152548985,0.0119360027951661,4.65196915621567e-19
12,0.21964293718338,0.0418567061424255,0.0311596428041104,0.0230013715730516,1.0441942586704e-17
15,0.222205489873886,0.0603003315627575,0.0469324200371026,0.0366449066546031,1.10534021055648e-16
18,0.224285677075386,0.0795240849256516,0.0638371030927734,0.0518040312077285,7.31492994567604e-16
21,0.226034760475159,0.098506435751915,0.0808485011093974,0.0674662329327279,3.51123511064817e-15
24,0.22754268348217,0.116505399346352,0.0971868272922746,0.0828117749688709,1.33236741003137e-14
27,0.228867173194885,0.133045881986618,0.112329798420189,0.0972560167506015,4.23286148428133e-14
30,0.23004749417305,0.147879362106323,0.125983806831564,0.110437996864822,1.17007735423412e-13
33,0.231111526489258,0.160931468009949,0.138035618819592,0.122183145686854,2.89061770396629e-13
36,0.232079893350601,0.172249585390091,0.148501383306305,0.13245631936485,6.51055598321904e-13
39,0.232968136668205,0.181957066059113,0.157479962506878,0.141317186581665,1.35757258299535e-12
42,0.233788311481476,0.190217897295952,0.165115764297113,0.148881894334651,2.65180499087192e-12
45,0.234549954533577,0.197211042046547,0.171571708318237,0.155294039927772,4.89768859149309e-12
48,0.235260739922523,0.20311327278614,0.177011377502942,0.160704659913179,8.61711309946278e-12
51,0.235926941037178,0.208089351654053,0.181588319586714,0.165259504643167,1.45314203378599e-11
54,0.236553728580475,0.212286800146103,0.185440378402839,0.169092072650237,2.36062922681635e-11
57,0.237145438790321,0.215834259986877,0.188687861884091,0.172320376836316,3.7098869115626e-11
60,0.23770572245121,0.218841657042503,0.191433844040481,0.175046226083607,5.66059560336285e-11
63,0.238237708806992,0.221401661634445,0.19376507195205,0.177355965894733,8.41121408634571e-11
