"Time","Amount","Legend","DrugMass","NormalizedAmount"
0,0,"Raltegravir - Lumen",900.056996109279,0
0.05,179.726565412885,"Raltegravir - Lumen",900.056996109279,0.199683538031256
0.1,179.264446195182,"Raltegravir - Lumen",900.056996109279,0.19917010474903
0.15,171.772706041553,"Raltegravir - Lumen",900.056996109279,0.190846476149937
0.2,160.001228970043,"Raltegravir - Lumen",900.056996109279,0.177767885435798
0.25,145.709079854498,"Raltegravir - Lumen",900.056996109279,0.161888725363351
0.3,130.280637048463,"Raltegravir - Lumen",900.056996109279,0.144747096696802
0.35,114.771288472596,"Raltegravir - Lumen",900.056996109279,0.127515578423059
0.4,99.930051029955,"Raltegravir - Lumen",900.056996109279,0.111026358843859
0.45,86.2362623664769,"Raltegravir - Lumen",900.056996109279,0.0958120016168473
0.5,73.9489254805515,"Raltegravir - Lumen",900.056996109279,0.082160269627606
0.55,63.1601510907784,"Raltegravir - Lumen",900.056996109279,0.0701735016380118
0.6,53.8460048248679,"Raltegravir - Lumen",900.056996109279,0.0598251055851249
0.65,45.9110681167551,"Raltegravir - Lumen",900.056996109279,0.0510090675537407
0.7,39.2191426561727,"Raltegravir - Lumen",900.056996109279,0.0435740656710711
0.75,33.6176637795514,"Raltegravir - Lumen",900.056996109279,0.0373505943788806
0.8,28.9541848167774,"Raltegravir - Lumen",900.056996109279,0.032169279214471
0.85,25.0858781356641,"Raltegravir - Lumen",900.056996109279,0.0278714328582569
0.9,21.88429546682,"Raltegravir - Lumen",900.056996109279,0.0243143440486773
0.95,19.2373502095321,"Raltegravir - Lumen",900.056996109279,0.0213734800048112
1,17.0491414501894,"Raltegravir - Lumen",900.056996109279,0.0189422909036746
1.05,15.2388031226248,"Raltegravir - Lumen",900.056996109279,0.0169309312504634
1.1,13.738958993468,"Raltegravir - Lumen",900.056996109279,0.015264543304322
1.15,12.4938447410943,"Raltegravir - Lumen",900.056996109279,0.0138811706315289
1.2,11.4575106693076,"Raltegravir - Lumen",900.056996109279,0.0127297612471605
1.25,10.5922863781883,"Raltegravir - Lumen",900.056996109279,0.0117684618018371
1.3,9.86740338535751,"Raltegravir - Lumen",900.056996109279,0.0109630872578201
1.35,9.25773414355083,"Raltegravir - Lumen",900.056996109279,0.0102857198861513
1.4,8.74276407139251,"Raltegravir - Lumen",900.056996109279,0.00971356715095299
