"Path","Parameter","Value","Unit"
"Raltegravir","C_max",2283.8438108762,"µg/l"
"Raltegravir","C_max_norm",0.833603,"kg/l"
"Raltegravir","t_max",0.75,"h"
"Raltegravir","C_tEnd",1.9180620865819,"µg/l"
"Raltegravir","AUC",5349.7612049175,"µg*h/l"
"Raltegravir","AUC_norm",1.95266333333333,"kg*h/l"
"Raltegravir","AUC_inf",5376.25211986667,"µg*h/l"
"Raltegravir","AUC_inf_norm",1.96233166666667,"kg*h/l"
"Raltegravir","MRT",4.134027,"h"
"Raltegravir","Thalf",9.573441,"h"
"Raltegravir","CL",8.493296,"ml/min/kg"
"Raltegravir","Vss",2106.691,"ml/kg"
"Raltegravir","Vd",7038.338,"ml/kg"
