"Path","Parameter","Value","Unit"
"Raltegravir","C_max",3691.8395327895,"µg/l"
"Raltegravir","C_max_norm",0.03368804,"kg/l"
"Raltegravir","C_max_t1_t2",3569.0082004651,"µg/l"
"Raltegravir","C_max_t1_t2_norm",0.651344,"kg/l"
"Raltegravir","C_max_tLast_tEnd",3689.9876500674,"µg/l"
"Raltegravir","C_max_tLast_tEnd_norm",0.6734227,"kg/l"
"Raltegravir","t_max",72.75,"h"
"Raltegravir","t_max_t1_t2",0.75,"h"
"Raltegravir","t_max_tLast_tEnd",228.75,"h"
"Raltegravir","C_trough_t2",79.75312709117,"µg/l"
"Raltegravir","C_trough_tLast",129.19350719194,"µg/l"
"Raltegravir","AUC_t1_t2",8128.04822171333,"µg*h/l"
"Raltegravir","AUC_t1_t2_norm",1.48336933333333,"kg*h/l"
"Raltegravir","AUC_tLast_minus_1_tLast",9098.52750296166,"µg*h/l"
"Raltegravir","AUC_tLast_minus_1_tLast_norm",1.66048166666667,"kg*h/l"
"Raltegravir","AUC_inf_t1",8798.71686004333,"µg*h/l"
"Raltegravir","AUC_inf_t1_norm",1.60576616666667,"kg*h/l"
"Raltegravir","AUC_inf_tLast",10365.92131424,"µg*h/l"
"Raltegravir","AUC_inf_tLast_norm",1.89178166666667,"kg*h/l"
"Raltegravir","MRT",3.934582,"h"
"Raltegravir","Thalf",5.828886,"h"
"Raltegravir","Thalf_tLast_tEnd",6.799166,"h"
