"Path","Parameter","Value","Unit"
"Raltegravir","C_max",8156.790105222,"µg/l"
"Raltegravir","C_max_norm",1.488614,"kg/l"
"Raltegravir","t_max",0.7,"h"
"Raltegravir","C_tEnd",42.186888346113,"µg/l"
"Raltegravir","AUC",18791.009983935,"µg*h/l"
"Raltegravir","AUC_norm",3.42935833333333,"kg*h/l"
"Raltegravir","AUC_inf",19278.7050246167,"µg*h/l"
"Raltegravir","AUC_inf_norm",3.51836333333333,"kg*h/l"
"Raltegravir","MRT",4.020312,"h"
"Raltegravir","Thalf",8.013055,"h"
"Raltegravir","CL",4.73705,"ml/min/kg"
"Raltegravir","Vss",1142.665,"ml/kg"
"Raltegravir","Vd",3285.73,"ml/kg"
