"Path","Parameter","Value","Unit"
"Raltegravir","C_max",4673.726239765,"µg/l"
"Raltegravir","C_max_norm",0.8529551,"kg/l"
"Raltegravir","t_max",0.75,"h"
"Raltegravir","C_tEnd",3.8378742845532,"µg/l"
"Raltegravir","AUC",10899.6060350333,"µg*h/l"
"Raltegravir","AUC_norm",1.98917833333333,"kg*h/l"
"Raltegravir","AUC_inf",10952.617492685,"µg*h/l"
"Raltegravir","AUC_inf_norm",1.99885333333333,"kg*h/l"
"Raltegravir","MRT",4.109855,"h"
"Raltegravir","Thalf",9.574741,"h"
"Raltegravir","CL",8.338114,"ml/min/kg"
"Raltegravir","Vss",2056.106,"ml/kg"
"Raltegravir","Vd",6910.679,"ml/kg"
