"Path","Parameter","Value","Unit"
"Raltegravir","C_max",6330.519094491,"µg/l"
"Raltegravir","C_max_norm",1.15532,"kg/l"
"Raltegravir","t_max",0.75,"h"
"Raltegravir","C_tEnd",35.836481622197,"µg/l"
"Raltegravir","AUC",14694.824946835,"µg*h/l"
"Raltegravir","AUC_norm",2.68180666666667,"kg*h/l"
"Raltegravir","AUC_inf",15124.2125689567,"µg*h/l"
"Raltegravir","AUC_inf_norm",2.76016833333333,"kg*h/l"
"Raltegravir","MRT",4.186335,"h"
"Raltegravir","Thalf",8.305141,"h"
"Raltegravir","CL",6.038278,"ml/min/kg"
"Raltegravir","Vss",1516.695,"ml/kg"
"Raltegravir","Vd",4340.961,"ml/kg"
