"Path","Parameter","Value","Unit"
"Raltegravir","C_max",2580.4388055865,"µg/l"
"Raltegravir","C_max_norm",0.4709301,"kg/l"
"Raltegravir","t_max",2.5,"h"
"Raltegravir","C_tEnd",35.92768029112,"µg/l"
"Raltegravir","AUC",14119.0910371233,"µg*h/l"
"Raltegravir","AUC_norm",2.57673333333333,"kg*h/l"
"Raltegravir","AUC_inf",14606.3564753817,"µg*h/l"
"Raltegravir","AUC_inf_norm",2.66566,"kg*h/l"
"Raltegravir","MRT",5.989332,"h"
"Raltegravir","Thalf",9.400702,"h"
"Raltegravir","CL",6.252361,"ml/min/kg"
"Raltegravir","Vss",2246.848,"ml/kg"
"Raltegravir","Vd",5087.801,"ml/kg"
