"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.03210117
0,6,0.4088525
0,9,1.288843
0,12,2.613029
0,15,4.25061
0,18,6.035797
0,21,7.811563
0,24,9.454906
0,27,10.88414
0,30,12.05587
0,33,12.95788
0,36,13.60027
0,39,14.00727
0,42,14.21064
0,45,14.24457
0,48,14.14225
0,51,13.93383
0,54,13.64547
0,57,13.29919
0,60,12.91301
0,63,12.50133
0,66,12.07552
0,69,11.64435
0,72,11.21446
0,75,10.7908
0,78,10.37694
0,81,9.975403
0,84,9.587862
0,87,9.215353
0,90,8.858425
0,93,8.517253
0,96,8.191738
0,99,7.881585
0,102,7.586358
0,105,7.305528
0,108,7.038496
0,111,6.784632
0,114,6.543284
0,117,6.313802
0,120,6.095547
0,135,5.151655
0,150,4.405818
0,165,3.806882
0,180,3.318249
0,195,2.913978
0,210,2.575508
0,225,2.289315
0,240,2.045332
0,255,1.835892
0,270,1.655046
0,285,1.49809
0,300,1.361246
0,315,1.241455
0,330,1.136198
0,345,1.043388
0,360,0.9612828
0,375,0.8883048
0,390,0.8232117
0,405,0.7650067
0,420,0.7128312
0,435,0.6659447
0,450,0.6237076
0,465,0.5855668
0,480,0.5510427
0,495,0.5197195
0,510,0.4912348
0,525,0.4652723
0,540,0.4415545
0,555,0.4198386
0,570,0.3999114
0,585,0.381585
0,600,0.3646933
0,615,0.3490896
0,630,0.3346441
0,645,0.3212414
0,660,0.3087791
0,675,0.297166
0,690,0.2863209
0,705,0.2761714
0,720,0.2666529
0,735,0.2577074
0,750,0.2492835
0,765,0.2413348
0,780,0.2338198
0,795,0.2267015
0,810,0.2199465
0,825,0.2135249
0,840,0.2074099
0,855,0.2015773
0,870,0.1960055
0,885,0.190675
0,900,0.185568
0,915,0.1806689
0,930,0.1759632
0,945,0.1714382
0,960,0.167082
0,975,0.1628842
0,990,0.1588352
0,1005,0.1549263
0,1020,0.1511496
0,1035,0.1474978
0,1050,0.1439645
0,1065,0.1405436
0,1080,0.1372295
0,1095,0.1340174
0,1110,0.1309025
0,1125,0.1278805
0,1140,0.1249474
0,1155,0.1220996
0,1170,0.1193336
0,1185,0.1166463
0,1200,0.1140345
0,1215,0.1114956
0,1230,0.1090269
0,1245,0.1066258
0,1260,0.1042901
0,1275,0.1020174
0,1290,0.09980568
0,1305,0.09765292
0,1320,0.09555716
0,1335,0.09351657
0,1350,0.09152937
0,1365,0.08959389
0,1380,0.08770847
0,1395,0.08587158
0,1410,0.08408169
0,1425,0.08233736
0,1440,0.08063719
