"Time","Observed","lloq","Simulated","Residuals","Legend","Path"
0.5,1041.600703,NA,2991.36799879346,-1.05497214005504,"Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1,1347.136909,NA,3265.00158096876,-0.885278714741508,"Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.5,1624.897097,NA,2274.18484571886,-0.336177189767056,"Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
2,1555.45705,NA,1584.13879006453,-0.018271484270131,"Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
3,1097.152741,NA,879.65231767987,0.220946949913153,"Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
4,819.3925531,NA,550.061624000657,0.398532961248524,"Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
5,527.7443563,NA,369.854498691034,0.355502311266608,"Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
6,291.6481969,NA,263.241230067247,0.102477434395485,"Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
8,83.32805625,NA,153.86972587792,-0.613321006361289,"Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
12,41.66402813,NA,79.7493484814361,-0.649250450370724,"Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
16,13.88800938,NA,53.7721932656921,-1.35373064643424,"Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
24,13.88800938,NA,28.2685934538469,-0.710725583126461,"Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
