"Time","Concentration","Legend","ResidualsLegend","Path"
0,0,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.05,3.90600677566808,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.1,49.6470779627524,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.15,156.066163639906,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.2,315.917909669226,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.25,513.635903122675,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.3,729.534254673839,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.35,944.900648590517,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.4,1145.0087958791,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.45,1319.99599749904,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.5,1464.54193540575,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.55,1577.04326672006,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.6,1658.56168161175,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.65,1711.84581328394,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.7,1740.55467836678,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.75,1748.65774780154,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.8,1740.03686600552,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.85,1718.24805930495,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.9,1686.40784396379,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.95,1647.16016756759,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1,1602.6868987767,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.05,1554.75529610832,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.1,1504.76738394637,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.15,1453.81812299094,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.2,1402.7462696676,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.25,1352.18417596571,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.3,1302.59794718039,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.35,1254.3223017993,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.4,1207.58663694994,"Simulated Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Raltegravir (Raltegravir 200 mg filmcoated tablet md)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
