"Time","Concentration","Legend","ResidualsLegend","Path"
0,0,"Simulated Raltegravir (Raltegravir 400mg (granules in suspension))","Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.1,233.262734000403,"Simulated Raltegravir (Raltegravir 400mg (granules in suspension))","Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.2,1496.51459712539,"Simulated Raltegravir (Raltegravir 400mg (granules in suspension))","Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.3,3461.13156883364,"Simulated Raltegravir (Raltegravir 400mg (granules in suspension))","Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.4,5424.94093550453,"Simulated Raltegravir (Raltegravir 400mg (granules in suspension))","Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.5,6919.64642105713,"Simulated Raltegravir (Raltegravir 400mg (granules in suspension))","Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.6,7807.05241462536,"Simulated Raltegravir (Raltegravir 400mg (granules in suspension))","Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.7,8156.78968586922,"Simulated Raltegravir (Raltegravir 400mg (granules in suspension))","Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.8,8115.61899401474,"Simulated Raltegravir (Raltegravir 400mg (granules in suspension))","Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.9,7827.8556083559,"Simulated Raltegravir (Raltegravir 400mg (granules in suspension))","Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1,7404.71295162277,"Simulated Raltegravir (Raltegravir 400mg (granules in suspension))","Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.1,6921.53923874111,"Simulated Raltegravir (Raltegravir 400mg (granules in suspension))","Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.2,6425.22854042892,"Simulated Raltegravir (Raltegravir 400mg (granules in suspension))","Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.3,5942.83255268164,"Simulated Raltegravir (Raltegravir 400mg (granules in suspension))","Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.4,5488.59911519527,"Simulated Raltegravir (Raltegravir 400mg (granules in suspension))","Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.5,5068.89667367506,"Simulated Raltegravir (Raltegravir 400mg (granules in suspension))","Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.6,4685.44978592577,"Simulated Raltegravir (Raltegravir 400mg (granules in suspension))","Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.7,4337.38155096483,"Simulated Raltegravir (Raltegravir 400mg (granules in suspension))","Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
