"Time","Observed","lloq","Simulated","Residuals","Legend","Path"
0.5,8433.981943,NA,6919.64642105713,0.197904341243865,"Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1,8639.587039,NA,7404.71295162277,0.154238102422497,"Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.5,7477.069786,NA,5068.89667367506,0.388717800080515,"Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
2,4964.861633,NA,3480.6831972662,0.355156833058016,"Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
3,2654.24259,NA,1886.95571322889,0.341194540454616,"Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
4,1418.972858,NA,1158.43334888656,0.202864739456672,"Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
5,722.9147436,NA,768.114030472696,-0.0606469044303513,"Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
6,457.4485998,NA,540.583549243176,-0.166984674586675,"Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
8,192.2087936,NA,309.69459870553,-0.477004398587812,"Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
10,115.9065542,NA,204.349769048345,-0.567048780611386,"Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
12,78.83952133,NA,148.038442949855,-0.63005757884056,"Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
16,46.41072753,NA,90.5705752076134,-0.668598754061969,"Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
24,30.81727236,NA,42.1868866932839,-0.314034107182239,"Raltegravir (Raltegravir 400mg (granules in suspension))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
