"Time","Concentration","Legend","ResidualsLegend","Path"
0,0,"Simulated Raltegravir (Raltegravir 400mg (lactose formulation))","Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.05,10.9753893439766,"Simulated Raltegravir (Raltegravir 400mg (lactose formulation))","Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.1,138.37972457678,"Simulated Raltegravir (Raltegravir 400mg (lactose formulation))","Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.15,433.337610758716,"Simulated Raltegravir (Raltegravir 400mg (lactose formulation))","Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.2,874.493054431522,"Simulated Raltegravir (Raltegravir 400mg (lactose formulation))","Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.25,1417.61205118701,"Simulated Raltegravir (Raltegravir 400mg (lactose formulation))","Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.3,2007.44610413537,"Simulated Raltegravir (Raltegravir 400mg (lactose formulation))","Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.35,2592.07268335361,"Simulated Raltegravir (Raltegravir 400mg (lactose formulation))","Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.4,3131.11778844304,"Simulated Raltegravir (Raltegravir 400mg (lactose formulation))","Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.45,3598.04679406977,"Simulated Raltegravir (Raltegravir 400mg (lactose formulation))","Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
