"Time","Observed","lloq","Simulated","Residuals","Legend","Path"
0.25,737.766212,NA,1417.61205118701,-0.653102092428831,"Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.5,2494.352452,NA,3979.0596352541,-0.467016361589327,"Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1,3759.094406,NA,4220.06415145807,-0.115672250774864,"Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.5,3618.567498,NA,2877.71056953077,0.229083191856356,"Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
2,3021.328194,NA,1971.34800261917,0.426978960005079,"Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
3,1686.322677,NA,1066.91555029173,0.457778405069443,"Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
4,913.4247926,NA,654.883873226952,0.332743116450005,"Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
6,238.6494373,NA,303.655176293701,-0.240897083503666,"Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
8,134.4318484,NA,171.57686631,-0.243973998974014,"Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
12,39.29863837,NA,80.6463150903448,-0.718883242187875,"Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
15,19.3095546,NA,55.0005175354153,-1.04674256451765,"Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
24,15.09896852,NA,23.0981732536923,-0.425127102920152,"Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
32,7.624499346,NA,12.2397489621218,-0.473322106446475,"Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
48,4.294901229,NA,3.83787428910872,0.112509915653106,"Raltegravir (Raltegravir 400mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
