"Time","Concentration","Legend","ResidualsLegend","Path"
0,0,"Simulated Raltegravir (Raltegravir 400mg chewable fasted)","Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.05,14.2662828542277,"Simulated Raltegravir (Raltegravir 400mg chewable fasted)","Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.1,181.700709874985,"Simulated Raltegravir (Raltegravir 400mg chewable fasted)","Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.15,572.782853205645,"Simulated Raltegravir (Raltegravir 400mg chewable fasted)","Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.2,1161.27268136964,"Simulated Raltegravir (Raltegravir 400mg chewable fasted)","Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.25,1889.0403132689,"Simulated Raltegravir (Raltegravir 400mg chewable fasted)","Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.3,2682.40662323914,"Simulated Raltegravir (Raltegravir 400mg chewable fasted)","Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.35,3471.58593233609,"Simulated Raltegravir (Raltegravir 400mg chewable fasted)","Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.4,4201.91454740944,"Simulated Raltegravir (Raltegravir 400mg chewable fasted)","Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.45,4837.089233992,"Simulated Raltegravir (Raltegravir 400mg chewable fasted)","Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.5,5357.82516363602,"Simulated Raltegravir (Raltegravir 400mg chewable fasted)","Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.55,5758.69309439525,"Simulated Raltegravir (Raltegravir 400mg chewable fasted)","Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.6,6044.18179297171,"Simulated Raltegravir (Raltegravir 400mg chewable fasted)","Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.65,6225.05904397783,"Simulated Raltegravir (Raltegravir 400mg chewable fasted)","Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.7,6315.44002881699,"Simulated Raltegravir (Raltegravir 400mg chewable fasted)","Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.75,6330.51899602718,"Simulated Raltegravir (Raltegravir 400mg chewable fasted)","Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.8,6285.04644580002,"Simulated Raltegravir (Raltegravir 400mg chewable fasted)","Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.85,6192.42128952408,"Simulated Raltegravir (Raltegravir 400mg chewable fasted)","Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
