"Time","Observed","lloq","Simulated","Residuals","Legend","Path"
0.5,7125.426982,NA,5357.82516363602,0.285111511967706,"Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1,5466.988952,NA,5738.75196765289,-0.0485137603941403,"Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.5,3902.15597,NA,3936.82852471504,-0.00884624299217762,"Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
2,2853.128946,NA,2708.96053276572,0.0518512737793895,"Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
3,1639.591334,NA,1474.68393736923,0.106003337117684,"Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
4,942.214636,NA,908.978859693336,0.0359112627581801,"Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
5,541.4571126,NA,604.959906176531,-0.110898322855805,"Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
6,326.5117127,NA,427.209740655345,-0.268809266965619,"Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
8,137.1922898,NA,244.892347197568,-0.579435197867332,"Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
10,84.7470735,NA,162.075653170201,-0.648392006411097,"Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
12,66.60735658,NA,118.504900491479,-0.576139283473251,"Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
16,40.16584767,NA,74.253962813808,-0.614474073392137,"Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
24,30.81727236,NA,35.8364801848084,-0.150891050450507,"Raltegravir (Raltegravir 400mg chewable fasted)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
