"Time","Concentration","Legend","ResidualsLegend","Path"
0,0,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.05,0.397256873790524,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.1,8.0989933974646,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.15,31.6942163870163,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.2,72.0717895267829,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.25,127.122219479924,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.3,194.190721235964,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.35,270.73295350827,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.4,354.502294602054,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.45,443.59248352592,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.5,536.413130656481,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.55,631.643083368504,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.6,728.193897323728,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.65,825.15619568758,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.7,921.778477708626,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.75,1017.44576836236,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.8,1111.64555314264,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.85,1203.95665256596,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.9,1294.03311669173,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.95,1381.59384132631,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1,1466.41334975498,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.05,1548.31215064564,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.1,1627.14677808113,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.15,1702.80767241719,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.2,1775.21515391252,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.25,1844.31348913107,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.3,1910.06919562836,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.35,1972.46669771028,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.4,2031.50684303365,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.45,2087.20149879398,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.5,2139.57694235277,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.55,2188.66538466926,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.6,2234.51175155501,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.65,2277.16563093414,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.7,2316.68445155635,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.75,2353.12966854124,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.8,2386.55871063852,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.85,2417.03176148257,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.9,2444.62108381748,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.95,2469.40445015669,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
2,2491.46175215569,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
2.25,2563.76115740619,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
2.5,2580.43880538306,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
2.75,2551.77613759704,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
3,2487.35930505042,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
3.25,2395.87191614408,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
3.5,2284.89922795153,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
3.75,2160.89508760281,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
4,2029.23194403706,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
4.25,1894.26675332041,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
4.5,1759.4405783226,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
4.75,1627.39609514396,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
5,1500.08725871677,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
5.25,1378.88960414927,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
5.5,1264.70525021448,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
5.75,1158.0568833004,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
6,1059.16934437912,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
6.25,968.027587542033,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
6.5,884.320416778302,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
6.75,807.738649262023,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
7,737.952811382115,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
7.25,674.562597204292,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
7.5,617.128019859278,"Simulated Raltegravir (Raltegravir 400mg chewable fed)","Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
