"Time","Observed","lloq","Simulated","Residuals","Legend","Path"
0.5,2469.220509,NA,536.413130656481,1.52675316608103,"Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1,2654.24259,NA,1466.41334975498,0.593339815895752,"Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.5,2410.458395,NA,2139.57694235277,0.119208815808941,"Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
2,2297.095738,NA,2491.46175215569,-0.0812239848687781,"Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
3,1849.425496,NA,2487.35930505042,-0.296346579508079,"Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
4,1720.505793,NA,2029.23194403706,-0.165039055474959,"Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
5,1228.040172,NA,1500.08725871677,-0.20010373634913,"Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
6,777.0837231,NA,1059.16934437912,-0.30969214622335,"Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
8,405.546864,NA,518.298280537558,-0.245314469908139,"Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
10,342.6251921,NA,276.029537161815,0.216129236600795,"Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
12,244.554556,NA,166.449641840604,0.384745604683751,"Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
16,121.6265689,NA,80.7651062471941,0.409410421033883,"Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
24,31.56853471,NA,35.927679449863,-0.12934712623903,"Raltegravir (Raltegravir 400mg chewable fed)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
