"Time","Observed","lloq","Simulated","Residuals","Legend","Path"
0.5,632.3710311,NA,472.478085056186,0.291484931386638,"Raltegravir (Raltegravir 50 mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1,772.897939,NA,504.6924879058,0.426197698569617,"Raltegravir (Raltegravir 50 mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
1.5,526.9758502,NA,345.859824046338,0.421121162288724,"Raltegravir (Raltegravir 50 mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
2,386.4489695,NA,237.545255201834,0.486641673427973,"Raltegravir (Raltegravir 50 mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
4,127.2809205,NA,79.0005959923536,0.476941219444547,"Raltegravir (Raltegravir 50 mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
6,42.65656306,NA,36.5967091525853,0.153222821426898,"Raltegravir (Raltegravir 50 mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
8,22.7503869,NA,20.6928758307584,0.094792673577325,"Raltegravir (Raltegravir 50 mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
12,11.17849723,NA,9.80686378634255,0.13090951588909,"Raltegravir (Raltegravir 50 mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
15,6.650651005,NA,6.74334180179983,-0.0138408729736754,"Raltegravir (Raltegravir 50 mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
24,5.644787514,NA,2.87218787673106,0.675658489705067,"Raltegravir (Raltegravir 50 mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
32,3.093997413,NA,1.52730944879625,0.705956258839587,"Raltegravir (Raltegravir 50 mg (lactose formulation))","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
