"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.01432592
0,6,0.1895362
0,9,0.6262677
0,12,1.331444
0,15,2.268331
0,18,3.353546
0,21,4.476974
0,24,5.532826
0,27,6.443144
0,30,7.16656
0,33,7.694578
0,36,8.041446
0,39,8.233419
0,42,8.300357
0,45,8.270746
0,48,8.169328
0,51,8.01635
0,54,7.827816
0,57,7.616035
0,60,7.390307
0,63,7.157535
0,66,6.922782
0,69,6.689712
0,72,6.460911
0,75,6.238153
0,78,6.022604
0,81,5.814981
0,84,5.615665
0,87,5.42479
0,90,5.242319
0,93,5.068095
0,96,4.901877
0,99,4.743365
0,102,4.592225
0,105,4.448106
0,108,4.310651
0,111,4.179506
0,114,4.054329
0,117,3.934782
0,120,3.820542
0,135,3.318758
0,150,2.910326
0,165,2.572189
0,180,2.288156
0,195,2.046695
0,210,1.839436
0,225,1.660113
0,240,1.503954
0,255,1.367223
0,270,1.246943
0,285,1.140697
0,300,1.046501
0,315,0.962706
0,330,0.8879279
0,345,0.8209998
0,360,0.7609304
0,375,0.7068735
0,390,0.6581042
0,405,0.6139988
0,420,0.574019
0,435,0.537699
0,450,0.5046344
0,465,0.4744729
0,480,0.4469071
0,495,0.4216679
0,510,0.3985189
0,525,0.3772525
0,540,0.357685
0,555,0.3396541
0,570,0.3230159
0,585,0.3076421
0,600,0.2934186
0,615,0.2802431
0,630,0.268024
0,645,0.2566789
0,660,0.2461338
0,675,0.2363215
0,690,0.2271814
0,705,0.2186587
0,720,0.2107032
0,735,0.2032696
0,750,0.1963162
0,765,0.1898053
0,780,0.1837021
0,795,0.1779749
0,810,0.1725945
0,825,0.1675341
0,840,0.1627693
0,855,0.1582774
0,870,0.1540376
0,885,0.1500306
0,900,0.146239
0,915,0.1426463
0,930,0.1392375
0,945,0.1359989
0,960,0.1329177
0,975,0.129982
0,990,0.1271811
0,1005,0.124505
0,1020,0.1219443
0,1035,0.1194906
0,1050,0.1171361
0,1065,0.1148734
0,1080,0.1126961
0,1095,0.1105978
0,1110,0.1085731
0,1125,0.1066166
0,1140,0.1047237
0,1155,0.1028899
0,1170,0.1011112
0,1185,0.09938395
0,1200,0.0977047
0,1215,0.09607036
0,1230,0.09447808
0,1245,0.09292522
0,1260,0.09140941
0,1275,0.08992845
0,1290,0.08848033
0,1305,0.08706322
0,1320,0.08567545
0,1335,0.08431548
0,1350,0.08298192
0,1365,0.08167349
0,1380,0.08038902
0,1395,0.07912745
0,1410,0.0778878
0,1425,0.07666921
0,1440,0.07547085
1,0,0
1,3,0.01553147
1,6,0.2047683
1,9,0.6889805
1,12,1.490005
1,15,2.565834
1,18,3.809922
1,21,5.081592
1,24,6.248489
1,27,7.217943
1,30,7.947359
1,33,8.437108
1,36,8.715044
1,39,8.821111
1,42,8.79636
1,45,8.677024
1,48,8.492457
1,51,8.265173
1,54,8.011902
1,57,7.744788
1,60,7.472473
1,63,7.200992
1,66,6.934422
1,69,6.675465
1,72,6.425864
1,75,6.186636
1,78,5.958244
1,81,5.740794
1,84,5.534159
1,87,5.338044
1,90,5.15204
1,93,4.975673
1,96,4.808437
1,99,4.649815
1,102,4.499289
1,105,4.356355
1,108,4.220527
1,111,4.091344
1,114,3.968373
1,117,3.851204
1,120,3.739457
1,135,3.250496
1,150,2.85373
1,165,2.5251
1,180,2.248349
1,195,2.012143
1,210,1.808429
1,225,1.631418
1,240,1.476701
1,255,1.340823
1,270,1.221013
1,285,1.115003
1,300,1.020916
1,315,0.9371762
1,330,0.8624509
1,345,0.7956066
1,360,0.7356724
1,375,0.681814
1,390,0.6333122
1,405,0.5895445
1,420,0.5499706
1,435,0.5141209
1,450,0.4815856
1,465,0.4520064
1,480,0.4250694
