"Time","Fraction dissolved","Fraction absorbed to mucosa","Fraction absorbed to portal vein","Fraction absorbed to venous blood","Fraction excrected to feces"
0,0,0,0,0,0
3,0.150171250104904,0.00261524692177773,0.00114083458973988,0.0003623210010414,1.35264510164811e-24
6,0.158163532614708,0.00905925687402487,0.00558817207074746,0.00313143113339638,3.71594249641969e-21
9,0.162875965237617,0.0187805816531181,0.0131316204912973,0.00882566131383879,3.34638605145318e-19
12,0.166235759854317,0.0310867540538311,0.0233201357024156,0.0171641485573592,7.55350895136883e-18
15,0.168851226568222,0.0450138486921787,0.0353572412419168,0.0275414102548372,8.02659471951159e-17
18,0.170994088053703,0.0596229620277882,0.0483528097007604,0.0391609301108389,5.33623927567072e-16
21,0.172810047864914,0.0741375014185905,0.0615169890217144,0.0512483214344073,2.5668202677557e-15
24,0.17438617348671,0.0879840925335884,0.0742385955902997,0.0631661790094999,9.76522600846033e-15
27,0.175778761506081,0.100787438452244,0.0860996132722866,0.0744516387687809,3.10970020079345e-14
30,0.177026301622391,0.112342938780785,0.0968568996550085,0.0848113650955351,8.61426950821489e-14
33,0.178156316280365,0.122578836977482,0.10640795660531,0.0940956978203761,2.13218331879261e-13
36,0.179189205169678,0.131517678499222,0.114752343341643,0.102264843164,4.81091674744277e-13
39,0.180140405893326,0.139242261648178,0.121956639069109,0.10935466601634,1.00483716399674e-12
42,0.181021943688393,0.145868673920631,0.128125274048631,0.115447279953333,1.96581032702037e-12
45,0.181843414902687,0.15152533352375,0.133378655812661,0.120648109113529,3.63593053234745e-12
48,0.182612508535385,0.156341955065727,0.137839098061932,0.12506941610689,6.40581641550564e-12
51,0.183335527777672,0.160441011190414,0.14162314831164,0.128821210895371,1.08183366778758e-11
54,0.184017717838287,0.163933321833611,0.144836399172128,0.13200532779088,1.75978138311494e-11
57,0.184663474559784,0.166916161775589,0.14757149635535,0.134712387665136,2.76889882550035e-11
60,0.185276493430138,0.169473066926003,0.149907987156214,0.137020899433441,4.22971865865485e-11
63,0.185859993100166,0.171675190329552,0.151913143739272,0.138997713551078,6.29126473139507e-11
66,0.186416670680046,0.173581957817078,0.15364328124508,0.140699036022786,9.13629588650267e-11
69,0.186948895454407,0.175242751836777,0.155145151126093,0.142171745449545,1.29844135443591e-10
72,0.187458753585815,0.17669865489006,0.156457398056838,0.143454641203249,1.80948242500811e-10
75,0.187948048114777,0.177983656525612,0.157611856848842,0.144579651337679,2.47696918531659e-10
78,0.188418388366699,0.179125756025314,0.158634720097913,0.145573129503437,3.33568311861043e-10
81,0.188871189951897,0.180147886276245,0.159547493917199,0.14645677571517,4.4251835529252e-10
84,0.18930771946907,0.181069001555443,0.160367858308871,0.147248382289577,5.79003567313663e-10
87,0.189729109406471,0.181904762983322,0.161110344230002,0.147962542698424,7.48000383854475e-10
90,0.190136387944221,0.182668179273605,0.161786916356639,0.14861130850258,9.55016843384726e-10
93,0.190530478954315,0.183369934558868,0.162407468963039,0.149204598346435,1.20609966458574e-09
96,0.190912202000618,0.18401888012886,0.162980164984399,0.149750609071461,1.50783951990974e-09
99,0.191282317042351,0.184622332453728,0.163511751769024,0.150256111336525,1.86737492136047e-09
102,0.191641509532928,0.185186430811882,0.164007892724057,0.150726755833917,2.29239116578128e-09
105,0.191990420222282,0.185716286301613,0.16447324890245,0.151167209974016,2.79111578294078e-09
108,0.192329630255699,0.186216190457344,0.164911739657435,0.151581398407908,3.37231131908311e-09
