"Time","Fraction dissolved","Fraction absorbed to mucosa","Fraction absorbed to portal vein","Fraction absorbed to venous blood","Fraction excrected to feces"
0,0,0,0,0,0
3,0.150211602449417,0.00261607975699008,0.00113717455823935,0.00036150658101703,6.7646061380842e-26
6,0.158203721046448,0.00906189531087875,0.0055404135456953,0.00310845652102474,1.86205820403116e-22
9,0.162916049361229,0.0187857747077942,0.0129694536090616,0.00872438976659434,1.67633644130126e-20
12,0.166275873780251,0.0310950521379709,0.0229702228337632,0.0169157945121461,3.7806382954555e-19
15,0.16889114677906,0.0450254678726196,0.0347626950117153,0.0270850765886382,4.02006220824137e-18
18,0.171034082770348,0.059638150036335,0.0474817162269928,0.0384564102089884,2.6673825206479e-17
21,0.172850072383881,0.0741559341549873,0.0603618817722411,0.0502787712962769,1.28425388457243e-16
24,0.174426168203354,0.0880055278539658,0.0728120575008607,0.0619354597119149,4.8867559482543e-16
27,0.175818756222725,0.100811697542667,0.0844278957448801,0.0729791746327149,1.5558329762529e-15
30,0.17706623673439,0.112369604408741,0.0949740710768899,0.0831261004227532,4.31042022550326e-15
33,0.17819619178772,0.122607618570328,0.104350534562165,0.0922310133365368,1.06687425007693e-14
36,0.17922905087471,0.131548494100571,0.112555239109481,0.100254305019691,2.40696626177409e-14
39,0.180180251598358,0.139274761080742,0.119650760334808,0.107229153819809,5.02661538152697e-14
42,0.181061789393425,0.145902544260025,0.125736551693954,0.113233222584727,9.8330604726346e-14
45,0.181883245706558,0.151561751961708,0.130928369202559,0.118367204468353,1.81860697833457e-13
48,0.182652339339256,0.156382456421852,0.135344685616378,0.122739499944253,3.20390307166629e-13
51,0.183375358581543,0.160487040877342,0.139098175718504,0.126456595900717,5.40961915020122e-13
54,0.18405756354332,0.163986101746559,0.142291130495955,0.129617033502898,8.79833423998722e-13
57,0.184703320264816,0.166976675391197,0.145013614545662,0.132308626818862,1.38427463935997e-12
60,0.185316368937492,0.169542163610458,0.147343190585999,0.134607822838691,2.1144108599408e-12
63,0.18589985370636,0.171753287315369,0.149345645262937,0.136579950473672,3.14506884077637e-12
66,0.18645653128624,0.173669368028641,0.15107612924847,0.138279950600737,4.56758415812164e-12
69,0.186988770961761,0.175339788198471,0.152580565410513,0.139753763040936,6.49152866877278e-12
