"Time","Fraction dissolved","Fraction absorbed to mucosa","Fraction absorbed to portal vein","Fraction absorbed to venous blood","Fraction excrected to feces"
0,0,0,0,0,0
3,0.267863601446152,0.00472238846123219,0.00207652617499833,0.00066007008600216,2.46494282370665e-24
6,0.280083805322647,0.0162397492676973,0.0101535441024589,0.00569134650822298,6.7541514408296e-21
9,0.287164837121964,0.033504780381918,0.0238183011003441,0.0160148160362103,6.06194297127023e-19
12,0.292156398296356,0.0552542917430401,0.0422165575958814,0.0310887593566028,1.36175600958277e-17
15,0.296008288860321,0.0797645449638367,0.0638795601038556,0.0497878402519869,1.44663420337692e-16
18,0.299142688512802,0.105374686419964,0.087186199122966,0.0706547242672248,9.5817923416447e-16
21,0.301783353090286,0.130722433328629,0.110710798259912,0.0922858011054544,4.60195371935514e-15
24,0.304063528776169,0.154811799526215,0.133358946731974,0.11353609990344,1.74941458482058e-14
27,0.306069195270538,0.177000045776367,0.154389284942023,0.133580345157795,5.56330155554452e-14
30,0.307858794927597,0.196945294737816,0.173377387940469,0.151901745933727,1.53874471758159e-13
33,0.309473931789398,0.214537173509598,0.19015211699362,0.168243583005204,3.80378156273134e-13
36,0.310945242643356,0.229827210307121,0.20472469189909,0.182545954583745,8.57556972481965e-13
39,0.312296062707901,0.242972522974014,0.217226756940081,0.194884076437895,1.78974196574089e-12
42,0.313544392585754,0.2541863322258,0.227857587758924,0.20541642224885,3.4983311820308e-12
45,0.314704537391663,0.263703316450119,0.236844570417319,0.214342581291967,6.46525454700564e-12
48,0.315788000822067,0.271757006645203,0.244416631593237,0.221874046063528,1.13817878732991e-11
51,0.316804140806198,0.278565526008606,0.250788959566706,0.228214976828302,1.9204313486676e-11
54,0.317760795354843,0.284324824810028,0.256154695063807,0.233552250128456,3.12157348580921e-11
57,0.31866443157196,0.289206355810165,0.260682157299725,0.238050974678959,4.90874632608218e-11
60,0.319520562887192,0.293357014656067,0.264514729545078,0.241853122401821,7.49428505364413e-11
63,0.32033383846283,0.296900868415833,0.267772836285455,0.245078751171055,1.11428491433863e-10
66,0.321108341217041,0.299941688776016,0.27055673201236,0.247828310439235,1.61776675389191e-10
69,0.321847498416901,0.302565723657608,0.272949383256408,0.250185025272305,2.29865293466247e-10
72,0.322554409503937,0.304844230413437,0.275018931030394,0.252217422366917,3.20277193655016e-10
75,0.32323169708252,0.306835889816284,0.276821180821208,0.253981739514937,4.38354907927874e-10
78,0.32388174533844,0.308588832616806,0.278401802259289,0.255524065936933,5.90248683263184e-10
81,0.32450658082962,0.310142695903778,0.279798215155053,0.256882041834094,7.82958808898115e-10
84,0.325108110904694,0.311529994010925,0.281040969060371,0.25808654522531,1.02437247573306e-09
87,0.325687974691391,0.312777400016785,0.282155069851499,0.259162749399059,1.32329336377524e-09
90,0.32624763250351,0.313906848430634,0.283161073206376,0.260131337181804,1.68946523437796e-09
93,0.326788455247879,0.314936488866806,0.284075822066058,0.261009276543982,2.13358841705258e-09
96,0.327311664819717,0.315881192684174,0.284913203168435,0.26181052415517,2.66732991249796e-09
99,0.327818304300308,0.316753327846527,0.285684638689187,0.262546536097322,3.30332827758184e-09
102,0.328309416770935,0.31756317615509,0.28639963086129,0.263226863343682,4.05519307022928e-09
105,0.32878589630127,0.318319231271744,0.287066031106061,0.263859348838996,4.93749707786151e-09
108,0.329248607158661,0.31902864575386,0.28769037697674,0.264450557685353,5.96576299471963e-09
111,0.329698264598846,0.319697320461273,0.288278142217257,0.265005936077835,7.15644610238542e-09
114,0.330135583877563,0.320330262184143,0.288833866029894,0.265530055005857,8.52691428576691e-09
117,0.330561250448227,0.320931673049927,0.289361420087187,0.266026692899702,1.00954222759242e-08
120,0.330975830554962,0.321505069732666,0.289864021246777,0.26649912595299,1.1881081007914e-08
135,0.332900613546371,0.324043601751328,0.292086066721362,0.268579917894722,2.47913423123691e-08
