"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.09995715
0,6,1.282049
0,9,4.052078
0,12,8.214679
0,15,13.35037
0,18,18.93822
0,21,24.49003
0,24,29.62524
0,27,34.09083
0,30,37.7517
0,33,40.56871
0,36,42.57232
0,39,43.83709
0,42,44.4613
0,45,44.55178
0,48,44.21222
0,51,43.53754
0,54,42.6109
0,57,41.50229
0,60,40.26905
0,63,38.95715
0,66,37.60264
0,69,36.23325
0,72,34.86995
0,75,33.52819
0,78,32.21911
0,81,30.95027
0,84,29.72668
0,87,28.55141
0,90,27.42604
0,93,26.351
0,96,25.32586
0,99,24.34958
0,102,23.42069
0,105,22.53743
0,108,21.69788
0,111,20.89998
0,114,20.14166
0,117,19.42084
0,120,18.73546
0,135,15.77357
0,150,13.43607
0,165,11.56155
0,180,10.03481
0,195,8.77416
0,210,7.721157
0,225,6.833155
0,240,6.078352
0,255,5.4325
0,270,4.876716
0,285,4.396036
0,300,3.97848
0,315,3.614296
0,330,3.295473
0,345,3.015387
0,360,2.768524
0,375,2.550265
0,390,2.356725
0,405,2.184622
0,420,2.031173
0,435,1.894009
0,450,1.771105
0,465,1.660694
0,480,1.560729
0,495,1.469884
0,510,1.387246
0,525,1.311983
0,540,1.243349
0,555,1.18068
0,570,1.123384
0,585,1.07094
0,600,1.022882
0,615,0.9787979
0,630,0.9383216
0,645,0.9011248
0,660,0.8669137
0,675,0.8354256
0,690,0.8064241
0,705,0.7796959
0,720,0.7550482
0,735,0.732301
0,750,0.7110118
0,765,0.6909502
0,780,0.6721214
0,795,0.6544932
0,810,0.6380143
0,825,0.6226236
0,840,0.608256
0,855,0.5948454
0,870,0.5823268
0,885,0.5706381
0,900,0.5597195
0,915,0.5495144
0,930,0.5399688
0,945,0.530714
0,960,0.5208778
0,975,0.510757
0,990,0.5005999
0,1005,0.4905593
0,1020,0.4807289
0,1035,0.4711628
0,1050,0.4618936
0,1065,0.4529394
0,1080,0.4443069
0,1095,0.4357442
0,1110,0.4262756
0,1125,0.4161662
0,1140,0.4057243
0,1155,0.3951475
0,1170,0.3845701
0,1185,0.3740851
0,1200,0.3637566
0,1215,0.3536291
0,1230,0.3437324
0,1245,0.3340881
0,1260,0.3247114
0,1275,0.3156116
0,1290,0.3067931
0,1305,0.2982569
0,1320,0.2900016
0,1335,0.2820236
0,1350,0.2743181
0,1365,0.2668792
0,1380,0.2597
0,1395,0.252773
0,1410,0.2460902
0,1425,0.2396435
0,1440,0.2334247
0,1455,0.2274253
0,1470,0.2216369
0,1485,0.2160514
0,1500,0.2106607
0,1515,0.2054567
0,1530,0.2004319
0,1545,0.1955786
0,1560,0.1908897
0,1575,0.1863582
0,1590,0.1819772
0,1605,0.1777405
0,1620,0.1736417
0,1635,0.1696749
0,1650,0.1658345
0,1665,0.162115
0,1680,0.1585113
0,1695,0.1550182
0,1710,0.1516313
0,1725,0.1483458
0,1740,0.1451577
0,1755,0.1420628
0,1770,0.1390571
0,1785,0.1361371
0,1800,0.1332992
0,1815,0.1305401
0,1830,0.1278567
0,1845,0.1252458
0,1860,0.1227046
0,1875,0.1202304
0,1890,0.1178207
0,1905,0.1154728
0,1920,0.1131846
0,1935,0.1109538
0,1950,0.1087782
0,1965,0.1066558
0,1980,0.1045848
0,1995,0.1025633
0,2010,0.1005896
0,2025,0.09866194
0,2040,0.09677884
0,2055,0.09493878
0,2070,0.09314034
0,2085,0.09138215
0,2100,0.08966291
0,2115,0.08798138
0,2130,0.08633638
0,2145,0.0847268
0,2160,0.08315153
0,2175,0.08160955
0,2190,0.0800999
0,2205,0.07862162
0,2220,0.07717381
0,2235,0.07575562
0,2250,0.07436621
0,2265,0.0730048
0,2280,0.07167063
0,2295,0.07036297
0,2310,0.06908113
0,2325,0.06782444
0,2340,0.06659225
0,2355,0.06538396
0,2370,0.06419895
0,2385,0.06303667
0,2400,0.06189657
0,2415,0.06077811
0,2430,0.05968079
0,2445,0.05860411
0,2460,0.0575476
0,2475,0.05651081
0,2490,0.05549328
0,2505,0.05449459
0,2520,0.05351434
0,2535,0.05255211
0,2550,0.05160753
0,2565,0.05068022
0,2580,0.04976981
0,2595,0.04887597
0,2610,0.04799833
0,2625,0.04713658
0,2640,0.04629039
0,2655,0.04545946
0,2670,0.04464347
0,2685,0.04384214
0,2700,0.04305517
0,2715,0.04228229
0,2730,0.04152324
0,2745,0.04077773
0,2760,0.04004553
0,2775,0.03932636
0,2790,0.03862
0,2805,0.0379262
0,2820,0.03724473
0,2835,0.03657536
0,2850,0.03591787
0,2865,0.03527205
0,2880,0.03463767
0,2895,0.03401455
0,2910,0.03340246
0,2925,0.03280121
0,2940,0.03221062
0,2955,0.03163049
0,2970,0.03106062
0,2985,0.03050086
0,3000,0.02995101
0,3015,0.02941089
0,3030,0.02888035
0,3045,0.02835921
0,3060,0.0278473
0,3075,0.02734447
0,3090,0.02685056
0,3105,0.02636541
0,3120,0.02588888
0,3135,0.0254208
0,3150,0.02496104
0,3165,0.02450945
0,3180,0.02406589
0,3195,0.02363023
0,3210,0.02320232
0,3225,0.02278203
0,3240,0.02236924
0,3255,0.0219638
0,3270,0.02156561
0,3285,0.02117452
0,3300,0.02079042
0,3315,0.0204132
0,3330,0.02004272
0,3345,0.01967888
0,3360,0.01932156
0,3375,0.01897065
0,3390,0.01862604
0,3405,0.01828762
0,3420,0.01795528
0,3435,0.01762893
0,3450,0.01730845
0,3465,0.01699374
0,3480,0.01668471
0,3495,0.01638126
0,3510,0.01608329
0,3525,0.01579071
0,3540,0.01550342
0,3555,0.01522133
0,3570,0.01494436
0,3585,0.01467241
0,3600,0.01440539
0,3615,0.01414323
0,3630,0.01388584
0,3645,0.01363313
0,3660,0.01338502
0,3675,0.01314143
0,3690,0.01290229
0,3705,0.01266752
0,3720,0.01243703
0,3735,0.01221077
0,3750,0.01198864
0,3765,0.01177058
0,3780,0.01155652
0,3795,0.01134638
0,3810,0.01114011
0,3825,0.01093762
0,3840,0.01073886
0,3855,0.01054376
0,3870,0.01035225
0,3885,0.01016427
0,3900,0.009979765
0,3915,0.009798661
0,3930,0.009620904
0,3945,0.009446433
0,3960,0.009275191
0,3975,0.00910712
0,3990,0.008942164
0,4005,0.008780266
0,4020,0.008621373
0,4035,0.008465432
0,4050,0.008312387
0,4065,0.00816219
0,4080,0.008014788
0,4095,0.007870131
0,4110,0.00772817
0,4125,0.007588857
0,4140,0.007452143
0,4155,0.007317982
0,4170,0.007186328
0,4185,0.007057136
0,4200,0.006930361
0,4215,0.006805959
0,4230,0.006683888
0,4245,0.006564105
0,4260,0.006446569
0,4275,0.006331238
0,4290,0.006218073
0,4305,0.006107035
0,4320,0.005998084
