"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.008789072
0,6,0.111713
0,9,0.3511711
0,12,0.7108603
0,15,1.155754
0,18,1.641556
0,21,2.126161
0,24,2.576433
0,27,2.970179
0,30,3.295428
0,33,3.548572
0,36,3.732
0,39,3.851897
0,42,3.916496
0,45,3.934729
0,48,3.915331
0,51,3.866303
0,54,3.794658
0,57,3.706345
0,60,3.606274
0,63,3.498421
0,66,3.385941
0,69,3.271298
0,72,3.156379
0,75,3.042607
0,78,2.931031
0,81,2.822404
0,84,2.717242
0,87,2.615879
0,90,2.518509
0,93,2.425218
0,96,2.336013
0,99,2.250844
0,102,2.169619
0,105,2.092211
0,108,2.018477
0,111,1.94826
0,114,1.881397
0,117,1.817722
0,120,1.757071
0,135,1.49368
0,150,1.284177
0,165,1.114913
0,180,0.976039
0,195,0.8605315
0,210,0.7633418
0,225,0.6807814
0,240,0.6100944
0,255,0.5491687
0,270,0.4963588
0,285,0.4503658
0,300,0.4101423
0,315,0.3748313
0,330,0.3437264
0,345,0.316241
0,360,0.291883
0,375,0.2702371
0,390,0.2509518
0,405,0.2337278
0,420,0.2183083
0,435,0.2044721
0,450,0.1920293
0,465,0.1808159
0,480,0.170689
0,495,0.161524
0,510,0.153212
0,525,0.1456577
0,540,0.1387776
0,555,0.1324979
0,570,0.1267535
0,585,0.1214871
0,600,0.1166477
0,615,0.1121904
0,630,0.108075
0,645,0.1042659
0,660,0.1007317
0,675,0.09744395
0,690,0.09437771
0,705,0.09151059
0,720,0.08882265
0,735,1.243513
0,750,3.383204
0,765,4.02069
0,780,3.689608
0,795,3.123232
0,810,2.596633
0,825,2.168044
0,840,1.830809
0,855,1.565475
0,870,1.354151
0,885,1.18317
0,900,1.042666
0,915,0.9256027
0,930,0.8269247
0,945,0.7429342
0,960,0.6708649
0,975,0.6086056
0,990,0.5545119
0,1005,0.5072772
0,1020,0.4658493
0,1035,0.42937
0,1050,0.3971311
0,1065,0.3685419
0,1080,0.3431082
0,1095,0.3204145
0,1110,0.3001084
0,1125,0.2818886
0,1140,0.2654973
0,1155,0.2507133
0,1170,0.2373458
0,1185,0.2252292
0,1200,0.21422
0,1215,0.204193
0,1230,0.1950387
0,1245,0.1866612
0,1260,0.1789764
0,1275,0.17191
0,1290,0.1653965
0,1305,0.1593781
0,1320,0.1538034
0,1335,0.1486269
0,1350,0.1438083
0,1365,0.1393114
0,1380,0.1351045
0,1395,0.1311588
0,1410,0.1274489
0,1425,0.1239522
0,1440,0.1206483
0,1455,1.273412
0,1470,3.410374
0,1485,4.046876
0,1500,3.715737
0,1515,3.149471
0,1530,2.622884
0,1545,2.194198
0,1560,1.856767
0,1575,1.59117
0,1590,1.379537
0,1605,1.208218
0,1620,1.067358
0,1635,0.949926
0,1650,0.8508729
0,1665,0.7665009
0,1680,0.6940494
0,1695,0.6314093
0,1710,0.5769361
0,1725,0.5293251
0,1740,0.4875244
0,1755,0.450676
0,1770,0.418072
0,1785,0.3891234
0,1800,0.363336
0,1815,0.340294
0,1830,0.3196447
0,1845,0.3010871
0,1860,0.2843637
0,1875,0.2692532
0,1890,0.2555645
0,1905,0.2431323
0,1920,0.2318129
0,1935,0.2214811
0,1950,0.2120273
0,1965,0.2033557
0,1980,0.1953818
0,1995,0.1880314
0,2010,0.181239
0,2025,0.1749465
0,2040,0.1691026
0,2055,0.1636617
0,2070,0.1585832
0,2085,0.1538311
0,2100,0.1493733
0,2115,0.1451812
0,2130,0.1412293
0,2145,0.1374947
0,2160,0.133957
0,2175,1.286539
0,2190,3.423326
0,2205,4.059647
0,2220,3.72829
0,2235,3.161797
0,2250,2.634981
0,2265,2.206074
0,2280,1.868422
0,2295,1.602614
0,2310,1.390778
0,2325,1.219259
0,2340,1.078203
0,2355,0.9605798
0,2370,0.8613375
0,2385,0.776781
0,2400,0.7041493
0,2415,0.6413344
