"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,6,0.5248744
0,12,3.367371
0,18,7.788039
0,24,12.20689
0,30,15.57019
0,36,17.56698
0,42,18.35394
0,48,18.2613
0,54,17.61379
0,60,16.66166
0,66,15.57445
0,72,14.45768
0,78,13.37222
0,84,12.35013
0,90,11.40574
0,96,10.54293
0,102,9.759727
0,108,9.051138
0,114,8.410818
0,120,7.832033
0,126,7.308223
0,132,6.833274
0,138,6.401646
0,144,6.008402
0,150,5.649186
0,156,5.320183
0,162,5.018069
0,168,4.739945
0,174,4.483294
0,180,4.245919
0,186,4.025904
0,192,3.821572
0,198,3.631456
0,204,3.454259
0,210,3.288842
0,216,3.134192
0,222,2.989408
0,228,2.85369
0,234,2.726315
0,240,2.60664
0,246,2.49408
0,252,2.388114
0,258,2.288267
0,264,2.194102
0,270,2.105222
0,276,2.021262
0,282,1.941889
0,288,1.866797
0,294,1.795709
0,300,1.728366
0,306,1.664532
0,312,1.603987
0,318,1.546526
0,324,1.491961
0,330,1.440117
0,336,1.39083
0,342,1.343949
0,348,1.299335
0,354,1.256856
0,360,1.21639
0,366,1.177823
0,372,1.141047
0,378,1.105964
0,384,1.072479
0,390,1.040506
0,396,1.009963
0,402,0.980773
0,408,0.9528644
0,414,0.9261693
0,420,0.9006245
0,426,0.8761702
0,432,0.8527502
0,438,0.8303119
0,444,0.8088056
0,450,0.7881844
0,456,0.7684041
0,462,0.7494233
0,468,0.7312024
0,474,0.7137014
0,480,0.696857
0,486,0.6806251
0,492,0.6649799
0,498,0.649897
0,504,0.635353
0,510,0.6213248
0,516,0.6077903
0,522,0.5947284
0,528,0.5821189
0,534,0.5699422
0,540,0.5581799
0,546,0.5468141
0,552,0.535828
0,558,0.5252054
0,564,0.5149308
0,570,0.5049897
0,576,0.4953679
0,582,0.486052
0,588,0.4770295
0,594,0.468288
0,600,0.4598161
0,606,0.4516028
0,612,0.4436374
0,618,0.4359098
0,624,0.4284106
0,630,0.4211304
0,636,0.4140606
0,642,0.4071927
0,648,0.4005189
0,654,0.3940314
0,660,0.3877231
0,666,0.381587
0,672,0.3756164
0,678,0.3698051
0,684,0.3641469
0,690,0.3586362
0,696,0.3532673
0,702,0.3480349
0,708,0.342934
0,714,0.3379598
0,720,0.3331076
0,726,0.3283729
0,732,0.3237515
0,738,0.3192395
0,744,0.3148328
0,750,0.3105277
0,756,0.3063208
0,762,0.3022085
0,768,0.2981876
0,774,0.2942551
0,780,0.2904077
0,786,0.2866428
0,792,0.2829576
0,798,0.2793493
0,804,0.2758155
0,810,0.2723537
0,816,0.2689616
0,822,0.265637
0,828,0.2623778
0,834,0.2591818
0,840,0.2560471
0,846,0.2529719
0,852,0.2499542
0,858,0.2469924
0,864,0.2440848
0,870,0.2412298
0,876,0.2384259
0,882,0.2356714
0,888,0.2329652
0,894,0.2303057
0,900,0.2276917
0,906,0.2251218
0,912,0.222595
0,918,0.2201099
0,924,0.2176656
0,930,0.2152609
0,936,0.2128947
0,942,0.2105662
0,948,0.2082743
0,954,0.2060181
0,960,0.2037967
0,966,0.2016092
0,972,0.1994549
0,978,0.1973329
0,984,0.1952424
0,990,0.1931828
0,996,0.1911533
0,1002,0.1891533
0,1008,0.1871819
0,1014,0.1852387
0,1020,0.1833231
0,1026,0.1814343
0,1032,0.1795719
0,1038,0.1777352
0,1044,0.1759237
0,1050,0.174137
0,1056,0.1723745
0,1062,0.1706357
0,1068,0.1689202
0,1074,0.1672275
0,1080,0.1655571
0,1086,0.1639086
0,1092,0.1622817
0,1098,0.1606758
0,1104,0.1590907
0,1110,0.157526
0,1116,0.1559811
0,1122,0.154456
0,1128,0.15295
0,1134,0.151463
0,1140,0.1499946
0,1146,0.1485445
0,1152,0.1471124
0,1158,0.1456979
0,1164,0.1443008
0,1170,0.1429209
0,1176,0.1415577
0,1182,0.140211
0,1188,0.1388807
0,1194,0.1375663
0,1200,0.1362677
0,1206,0.1349847
0,1212,0.1337169
0,1218,0.1324641
0,1224,0.1312262
0,1230,0.1300029
0,1236,0.1287939
0,1242,0.1275991
0,1248,0.1264182
0,1254,0.1252511
0,1260,0.1240975
0,1266,0.1229572
0,1272,0.1218301
0,1278,0.1207159
0,1284,0.1196145
0,1290,0.1185257
0,1296,0.1174494
0,1302,0.1163852
0,1308,0.1153331
0,1314,0.1142929
0,1320,0.1132644
0,1326,0.1122475
0,1332,0.111242
0,1338,0.1102478
0,1344,0.1092646
0,1350,0.1082924
0,1356,0.107331
0,1362,0.1063802
0,1368,0.10544
0,1374,0.1045101
0,1380,0.1035904
0,1386,0.1026808
0,1392,0.1017811
0,1398,0.1008913
0,1404,0.1000111
0,1410,0.09914053
0,1416,0.09827936
0,1422,0.0974275
0,1428,0.09658482
0,1434,0.0957512
0,1440,0.09492651
