"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.02469619
0,6,0.3113741
0,9,0.9750714
0,12,1.967734
0,15,3.189829
0,18,4.51704
0,21,5.832533
0,24,7.045461
0,27,8.096118
0,30,8.953451
0,33,9.609513
0,36,10.07282
0,39,10.3622
0,42,10.5016
0,45,10.51655
0,48,10.43168
0,51,10.26938
0,54,10.04899
0,57,9.786691
0,60,9.495746
0,63,9.186755
0,66,8.868005
0,69,8.545883
0,72,8.225255
0,75,7.909732
0,78,7.601903
0,81,7.303569
0,84,7.015925
0,87,6.739699
0,90,6.475259
0,93,6.222699
0,96,5.981918
0,99,5.752672
0,102,5.534614
0,105,5.327327
0,108,5.130353
0,111,4.943208
0,114,4.765397
0,117,4.596427
0,120,4.435814
0,135,3.742287
0,150,3.195591
0,165,2.757484
0,180,2.400712
0,195,2.106015
0,210,1.859641
0,225,1.651324
0,240,1.473582
0,255,1.320935
0,270,1.189089
0,285,1.074636
0,300,0.9748541
0,315,0.887513
0,330,0.8107747
0,345,0.7431167
0,360,0.6832674
0,375,0.6301584
0,390,0.5828884
0,405,0.540693
0,420,0.5029217
0,435,0.4690184
0,450,0.4385065
0,465,0.4109756
0,480,0.3860724
0,495,0.3634914
0,510,0.3429667
0,525,0.3242664
0,540,0.3071885
0,555,0.2915566
0,570,0.277216
0,585,0.2640306
0,600,0.2518803
0,615,0.2406594
0,630,0.2302743
0,645,0.2206421
0,660,0.2116893
0,675,0.2033503
0,690,0.1955671
0,705,0.1882877
0,720,0.1814657
0,735,0.1750598
0,750,0.1690331
0,765,0.1633522
0,780,0.1579876
0,795,0.1529125
0,810,0.1481031
0,825,0.1435378
0,840,0.1391972
0,855,0.135064
0,870,0.1311225
0,885,0.1273584
0,900,0.123759
0,915,0.1203128
0,930,0.1170092
0,945,0.1138389
0,960,0.1107932
0,975,0.1078643
0,990,0.1050451
0,1005,0.1023293
0,1020,0.09971079
0,1035,0.09718431
0,1050,0.0947449
0,1065,0.09238803
0,1080,0.09010955
0,1095,0.08790562
0,1110,0.08577272
0,1125,0.08370755
0,1140,0.08170709
0,1155,0.07976852
0,1170,0.07788922
0,1185,0.07606672
0,1200,0.07429872
0,1215,0.07258308
0,1230,0.07091776
0,1245,0.06930084
0,1260,0.06773052
0,1275,0.06620509
0,1290,0.06472293
0,1305,0.06328249
0,1320,0.06188231
0,1335,0.06052098
0,1350,0.05919717
0,1365,0.05790959
0,1380,0.05665703
0,1395,0.05543832
0,1410,0.05425232
0,1425,0.05309796
0,1440,0.05197418
0,1455,0.05088001
0,1470,0.04981446
0,1485,0.04877661
0,1500,0.04776558
0,1515,0.04678049
0,1530,0.04582052
0,1545,0.04488486
0,1560,0.04397275
0,1575,0.04308343
0,1590,0.04221619
0,1605,0.04137034
0,1620,0.04054519
0,1635,0.0397401
0,1650,0.03895446
0,1665,0.03818765
0,1680,0.03743909
0,1695,0.03670823
0,1710,0.03599452
0,1725,0.03529743
0,1740,0.03461646
0,1755,0.03395113
0,1770,0.03330097
0,1785,0.03266551
0,1800,0.03204433
0,1815,0.03143701
0,1830,0.03084312
0,1845,0.0302623
0,1860,0.02969414
0,1875,0.0291383
0,1890,0.02859442
0,1905,0.02806215
0,1920,0.02754118
0,1935,0.02703118
0,1950,0.02653186
0,1965,0.02604291
0,1980,0.02556406
0,1995,0.02509504
0,2010,0.02463557
0,2025,0.02418542
0,2040,0.02374432
0,2055,0.02331205
0,2070,0.02288838
0,2085,0.02247308
0,2100,0.02206596
0,2115,0.02166679
0,2130,0.02127539
0,2145,0.02089155
0,2160,0.02051511
0,2175,0.02014588
0,2190,0.01978368
0,2205,0.01942836
0,2220,0.01907974
0,2235,0.01873769
0,2250,0.01840203
0,2265,0.01807264
0,2280,0.01774936
0,2295,0.01743207
0,2310,0.01712062
0,2325,0.0168149
0,2340,0.01651478
0,2355,0.01622014
0,2370,0.01593085
0,2385,0.01564682
0,2400,0.01536793
0,2415,0.01509407
0,2430,0.01482514
0,2445,0.01456103
0,2460,0.01430167
0,2475,0.01404693
0,2490,0.01379675
0,2505,0.01355102
0,2520,0.01330966
0,2535,0.01307258
0,2550,0.01283971
0,2565,0.01261095
0,2580,0.01238624
0,2595,0.0121655
0,2610,0.01194865
0,2625,0.01173562
0,2640,0.01152633
0,2655,0.01132073
0,2670,0.01111874
0,2685,0.01092029
0,2700,0.01072532
0,2715,0.01053378
0,2730,0.01034559
0,2745,0.0101607
0,2760,0.009979049
0,2775,0.009800578
0,2790,0.009625231
0,2805,0.009452954
0,2820,0.009283693
0,2835,0.009117395
0,2850,0.008954007
0,2865,0.00879348
0,2880,0.008635764
