"IndividualId","Time [min]","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood) [µmol/l]"
0,0,0
0,3,0.0008938846
0,6,0.01822389
0,9,0.0713165
0,12,0.1621718
0,15,0.2860431
0,18,0.4369568
0,21,0.6091877
0,24,0.7976807
0,27,0.9981463
0,30,1.207006
0,33,1.421287
0,36,1.63854
0,39,1.856719
0,42,2.074133
0,45,2.289398
0,48,2.501361
0,51,2.709074
0,54,2.911759
0,57,3.108783
0,60,3.299639
0,63,3.483923
0,66,3.661312
0,69,3.83156
0,72,3.994487
0,75,4.149968
0,78,4.297928
0,81,4.438331
0,84,4.57118
0,87,4.696501
0,90,4.814353
0,93,4.924809
0,96,5.02797
0,99,5.123947
0,102,5.21287
0,105,5.294877
0,108,5.370097
0,111,5.438666
0,114,5.500746
0,117,5.556512
0,120,5.606144
0,135,5.768828
0,150,5.806355
0,165,5.74186
0,180,5.596913
0,195,5.391053
0,210,5.141349
0,225,4.862322
0,240,4.566061
0,255,4.26237
0,270,3.958992
0,285,3.661873
0,300,3.37541
0,315,3.102698
0,330,2.845767
0,345,2.605793
0,360,2.383282
0,375,2.1782
0,390,1.989847
0,405,1.817527
0,420,1.660499
0,435,1.517862
0,450,1.388626
0,465,1.271765
0,480,1.166245
0,495,1.071061
0,510,0.9852564
0,525,0.9079238
0,540,0.8382195
0,555,0.7753654
0,570,0.7186494
0,585,0.6674246
0,600,0.6211058
0,615,0.5791675
0,630,0.5411387
0,645,0.5065996
0,660,0.4751765
0,675,0.4465369
0,690,0.4203858
0,705,0.3964622
0,720,0.3745354
0,735,0.3544012
0,750,0.3358787
0,765,0.3188082
0,780,0.3030484
0,795,0.2884737
0,810,0.2749729
0,825,0.2624472
0,840,0.2508085
0,855,0.2399784
0,870,0.2298866
0,885,0.2204704
0,900,0.2116732
0,915,0.2034444
0,930,0.1957384
0,945,0.1885137
0,960,0.181733
0,975,0.175362
0,990,0.1693697
0,1005,0.1637281
0,1020,0.1584111
0,1035,0.1533954
0,1050,0.1486593
0,1065,0.1441828
0,1080,0.1399477
0,1095,0.135937
0,1110,0.1321351
0,1125,0.1285276
0,1140,0.1251013
0,1155,0.1218439
0,1170,0.1187441
0,1185,0.1157914
0,1200,0.1129759
0,1215,0.1102886
0,1230,0.1077211
0,1245,0.1052656
0,1260,0.1029149
0,1275,0.1006622
0,1290,0.09850124
0,1305,0.09642627
0,1320,0.09443187
0,1335,0.09251304
0,1350,0.09066503
0,1365,0.08888361
0,1380,0.08716466
0,1395,0.08550441
0,1410,0.08389942
0,1425,0.08234642
0,1440,0.0808424
