"Time","Concentration","Legend","ResidualsLegend","Path"
0,0,"Simulated Raltegravir (Filmcoated_tablet_400mg_sd)","Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.05,7.82533517364059,"Simulated Raltegravir (Filmcoated_tablet_400mg_sd)","Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.1,99.9469179017916,"Simulated Raltegravir (Filmcoated_tablet_400mg_sd)","Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.15,315.55156298638,"Simulated Raltegravir (Filmcoated_tablet_400mg_sd)","Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.2,640.879840824413,"Simulated Raltegravir (Filmcoated_tablet_400mg_sd)","Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.25,1044.51876173544,"Simulated Raltegravir (Filmcoated_tablet_400mg_sd)","Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.3,1486.13037722497,"Simulated Raltegravir (Filmcoated_tablet_400mg_sd)","Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.35,1927.14693762531,"Simulated Raltegravir (Filmcoated_tablet_400mg_sd)","Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.4,2337.09814697709,"Simulated Raltegravir (Filmcoated_tablet_400mg_sd)","Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.45,2695.52262916331,"Simulated Raltegravir (Filmcoated_tablet_400mg_sd)","Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.5,2991.36799879346,"Simulated Raltegravir (Filmcoated_tablet_400mg_sd)","Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.55,3221.26757488394,"Simulated Raltegravir (Filmcoated_tablet_400mg_sd)","Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.6,3387.40110695305,"Simulated Raltegravir (Filmcoated_tablet_400mg_sd)","Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.65,3495.48837132282,"Simulated Raltegravir (Filmcoated_tablet_400mg_sd)","Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.7,3553.13009480376,"Simulated Raltegravir (Filmcoated_tablet_400mg_sd)","Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.75,3568.55638939686,"Simulated Raltegravir (Filmcoated_tablet_400mg_sd)","Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.8,3549.76977124634,"Simulated Raltegravir (Filmcoated_tablet_400mg_sd)","Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
0.85,3504.08573064203,"Simulated Raltegravir (Filmcoated_tablet_400mg_sd)","Raltegravir (Filmcoated_tablet_400mg_sd)","Organism|PeripheralVenousBlood|Raltegravir|Plasma (Peripheral Venous Blood)"
